"我 喜欢 苹果。","Wǒ xǐhuān píngguǒ.","Мне нравятся яблоки."
"我们 一起 去 喝 茶吧！","Wǒmen yīqǐ qù hē chá ba!","Давайте пойдем пить чай вместе!"
"他 在公园 跑步。","Tā zài gōngyuán pǎobù.","Он бегает в парке."
"我 有 很多 工作 要做。","Wǒ yǒu hěn duō gōngzuò yào zuò.","У меня много работы."
"你 会说 英语 吗？","Nǐ huì shuō Yīngyǔ ma?","Ты говоришь по-английски?"
"她 喜欢 看 书 和 写字。","Tā xǐhuān kàn shū hé xiězì.","Она любит читать книги и писать."
"我 想 吃 冰淇淋。","Wǒ xiǎng chī bīngqílín.","Я хочу мороженое."
"你 要喝 果汁 吗？","Nǐ yào hē guǒzhī ma?","Ты хочешь пить сок?"
"我们 一起 去 游泳 吧！","Wǒmen yīqǐ qù yóuyǒng ba!","Давайте пойдем плавать вместе!"
"他 每天 都 去 健身房。","Tā měitiān dōu qù jiànshēnfáng.","Он ходит в спортзал каждый день."
"我 喜欢 这个 季节。","Wǒ xǐhuān zhège jìjié.","Мне нравится этот сезон."
"你 会骑 自行车 吗？","Nǐ huì qí zìxíngchē ma?","Ты умеешь кататься на велосипеде?"
"她的 家 在这里。","Tā de jiā zài zhèlǐ.","Ее дом здесь."
"我 想买 一些 水果。","Wǒ xiǎng mǎi yīxiē shuǐguǒ.","Я хочу купить немного фруктов."
"你 今天 有 什么 计划？","Nǐ jīntiān yǒu shénme jìhuà?","Какие у тебя планы на сегодня?"
"我们 一起 去 爬山 吧！","Wǒmen yīqǐ qù páshān ba!","Давайте пойдем в горы вместе!"
"他 喜欢 看 动画片。","Tā xǐhuān kàn dònghuàpiàn.","Он любит смотреть анимационные фильмы."
"我 有 一个 新手机。","Wǒ yǒu yīgè xīn shǒujī.","У меня есть новый мобильный телефон."
"你 喜欢 这个 故事吗？","Nǐ xǐhuān zhège gùshì ma?","Тебе нравится эта история?"
"她 每天 都 去 上班。","Tā měitiān dōu qù shàngbān.","Она каждый день идет на работу."
"我 想去 参加 聚会。","Wǒ xiǎng qù cānjiā jùhuì.","Я хочу пойти на вечеринку."
"你 会 弹钢琴吗？","Nǐ huì tán gāngqín ma?","Ты умеешь играть на пианино?"
"我们 一起 去 旅行吧！","Wǒmen yīqǐ qù lǚxíng ba!","Давайте поедем в путешествие вместе!"
